,respondent_id,h1n1_concern,h1n1_knowledge,behavioral_antiviral_meds,behavioral_avoidance,behavioral_face_mask,behavioral_wash_hands,behavioral_large_gatherings,behavioral_outside_home,behavioral_touch_face,doctor_recc_h1n1,doctor_recc_seasonal,chronic_med_condition,child_under_6_months,health_worker,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,age_group,education,race,sex,income_poverty,marital_status,rent_or_own,employment_status,hhs_geo_region,census_msa,household_adults,household_children,h1n1_vaccine,seasonal_vaccine
32,32,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,1,3,0,1,0,0,0,2,6,1,1.0,2.0,0,1
33,33,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,4.0,5.0,2.0,4.0,4,0,3,0,0,1,0,1,3,0,0.0,0.0,1,0
34,34,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,4.0,2.0,1.0,0,2,3,1,1,0,0,0,7,0,1.0,2.0,1,1
35,35,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,5.0,5.0,5.0,2.0,5.0,3,1,1,0,0,1,1,1,8,1,0.0,0.0,1,1
36,36,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,4.0,2.0,1.0,2,3,3,0,1,0,0,0,6,2,2.0,0.0,0,1
37,37,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,1.0,1.0,2,3,3,0,0,1,0,0,6,1,0.0,0.0,0,0
38,38,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,2.0,2.0,4,2,3,1,0,0,0,1,1,0,1.0,0.0,1,1
39,39,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,2.0,5.0,4.0,2.0,4,1,3,0,0,1,0,0,9,0,0.0,0.0,0,1
40,40,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,5.0,2.0,1.0,2,3,3,1,0,1,1,0,2,0,0.0,0.0,0,0
41,41,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,3,3,3,0,1,0,0,0,9,0,1.0,0.0,1,1
42,42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,1.0,5.0,3,0,3,1,0,0,0,0,8,2,1.0,0.0,0,0
43,43,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,4.0,1.0,4.0,4.0,0,2,0,1,1,1,1,1,6,1,0.0,1.0,1,1
44,44,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,3,2,3,0,0,1,1,0,3,1,1.0,0.0,0,0
45,45,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,4.0,5.0,0,3,3,0,1,0,1,0,7,0,2.0,1.0,0,0
46,46,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,5.0,1.0,1.0,3,0,3,0,1,0,0,1,6,0,1.0,0.0,1,1
47,47,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,5.0,1.0,2.0,0,2,3,1,1,0,0,0,7,0,1.0,0.0,1,0
48,48,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,5.0,5.0,1.0,2,2,3,0,0,0,0,0,5,2,1.0,0.0,1,1
49,49,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,5.0,4.0,1.0,0,2,3,0,1,0,0,1,9,1,1.0,3.0,1,1
50,50,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,2,2,3,1,0,0,0,0,4,2,1.0,2.0,0,0
51,51,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,5.0,4.0,1.0,3,2,3,0,1,1,0,0,1,0,0.0,0.0,0,1
52,52,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,4.0,2.0,2.0,2,2,3,1,1,0,0,0,3,2,1.0,0.0,0,0
53,53,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,3,2,3,1,0,1,0,2,6,0,0.0,0.0,0,1
54,54,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,4.0,4.0,4.0,0,2,3,0,0,1,1,2,2,0,0.0,1.0,0,0
55,55,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,3,2,3,0,0,0,0,0,4,0,1.0,0.0,0,0
56,56,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,5.0,5.0,2.0,4,0,3,0,0,1,0,0,8,2,0.0,0.0,0,1
57,57,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,4.0,1.0,3,1,3,1,0,0,0,0,4,1,1.0,0.0,1,1
58,58,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,2,2,3,0,0,0,0,0,0,1,1.0,2.0,0,0
59,59,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,5.0,4.0,1.0,4.0,1,3,1,0,2,0,1,2,2,1,1.0,2.0,0,1
60,60,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,5.0,4.0,4.0,1.0,2,2,3,0,0,1,0,0,3,0,0.0,0.0,1,1
61,61,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,3.0,5.0,5.0,2,2,3,1,1,0,0,0,3,0,1.0,2.0,0,1
62,62,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,5.0,1.0,2.0,1,0,3,1,2,1,0,2,5,0,2.0,0.0,0,0
63,63,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,1.0,0,0,3,1,2,1,0,2,7,1,3.0,1.0,0,1
64,64,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0,4.0,1.0,2,0,2,0,2,1,0,2,4,2,1.0,2.0,0,0
65,65,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,3,2,0,0,1,1,1,0,3,0,0.0,0.0,0,0
66,66,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,4.0,2.0,4.0,0,0,0,1,2,1,1,1,6,2,1.0,2.0,0,0
67,67,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,4.0,2.0,1,2,0,1,0,1,0,0,6,1,0.0,1.0,1,1
68,68,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,4.0,4.0,4.0,4,2,3,0,0,1,0,1,8,2,1.0,0.0,0,1
69,69,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,4,3,3,0,0,1,0,1,7,0,0.0,0.0,0,0
70,70,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,5.0,5.0,2.0,5.0,0,2,3,1,0,0,0,0,1,0,2.0,1.0,0,0
71,71,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,4.0,4.0,5.0,4.0,1.0,4,1,3,0,2,1,1,1,9,0,0.0,0.0,0,1
72,72,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,4.0,1.0,1.0,4,1,3,1,0,1,0,1,9,1,0.0,0.0,0,1
73,73,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,5.0,5.0,1.0,4,2,3,0,0,1,1,1,0,0,0.0,0.0,0,1
74,74,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,4.0,5.0,5.0,5.0,0,3,3,0,2,0,1,1,8,2,1.0,0.0,1,1
75,75,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,4.0,5.0,4.0,4.0,2,3,3,1,2,0,1,1,8,0,1.0,2.0,1,1
76,76,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,2.0,5.0,4.0,2.0,3,2,3,1,1,1,0,0,3,1,1.0,0.0,0,0
77,77,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,5.0,5.0,4.0,1,0,3,0,1,0,0,0,4,1,1.0,2.0,0,1
78,78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,5.0,2.0,1.0,4,2,3,1,1,1,0,1,0,0,0.0,0.0,0,1
79,79,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,5.0,5.0,1.0,4,1,2,1,0,0,0,0,6,2,1.0,0.0,0,1
80,80,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,4.0,1.0,1.0,2,0,3,1,0,1,0,0,1,2,0.0,0.0,0,0
81,81,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,5.0,2.0,1.0,3,3,3,0,0,0,0,0,2,0,1.0,0.0,0,1
82,82,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,5.0,4.0,4.0,0,2,3,0,0,0,0,0,0,0,1.0,1.0,1,1
83,83,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,2,2,0,0,0,1,0,0,4,0,0.0,1.0,0,1
84,84,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,1.0,5.0,4.0,1.0,4,0,3,0,0,0,0,1,0,2,1.0,0.0,0,1
85,85,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,4.0,2.0,5.0,4.0,4.0,3,0,3,0,0,0,0,0,9,1,1.0,0.0,1,1
86,86,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,4.0,1.0,2.0,2,1,3,1,1,0,0,2,9,0,2.0,1.0,0,0
87,87,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,2.0,4.0,4.0,5.0,0,0,3,0,0,0,0,1,5,0,1.0,1.0,0,0
88,88,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,4.0,1.0,4.0,4,0,2,0,0,1,1,1,1,2,0.0,0.0,0,1
89,89,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,4.0,2.0,4.0,0,2,2,0,0,0,1,0,1,1,1.0,0.0,0,0
90,90,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,0,2,2,0,0,1,1,0,5,2,0.0,0.0,0,1
91,91,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,2.0,5.0,4.0,1.0,0,0,3,0,0,0,0,1,8,2,1.0,2.0,0,1
92,92,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,4.0,1.0,1.0,0,0,3,1,0,1,0,0,1,1,0.0,0.0,0,0
93,93,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,5.0,4.0,2.0,0,2,2,1,0,0,1,1,9,0,1.0,2.0,0,1
94,94,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,1.0,1,2,1,0,0,0,1,1,4,0,1.0,3.0,0,0
95,95,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,4.0,5.0,2.0,4.0,0,2,3,0,0,1,0,2,6,1,2.0,0.0,0,0
96,96,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,4.0,5.0,5.0,2.0,4,3,3,0,0,1,0,1,6,2,0.0,0.0,0,1
97,97,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,2.0,1.0,5.0,4.0,1.0,2,2,3,1,1,1,0,1,3,1,1.0,0.0,0,1
98,98,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,5.0,2.0,2.0,5.0,0,3,3,0,2,1,0,1,7,1,3.0,3.0,0,0
99,99,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,2.0,5.0,1.0,2.0,4,1,1,1,2,0,1,1,7,0,1.0,0.0,0,1
100,100,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,3.0,4.0,0,0,3,0,0,1,1,0,9,1,1.0,0.0,0,0
101,101,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,5.0,1.0,2,3,3,0,1,0,0,0,7,2,1.0,0.0,0,1
102,102,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,5.0,1.0,5.0,2.0,4.0,4,2,3,1,1,0,0,1,5,1,1.0,0.0,0,1
103,103,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,1.0,2.0,2,0,3,1,2,0,0,2,9,2,1.0,1.0,0,0
104,104,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,4.0,4,2,3,0,2,1,0,1,3,0,0.0,0.0,0,0
105,105,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,5.0,2.0,1.0,1,2,3,0,2,1,0,1,8,0,1.0,1.0,0,0
106,106,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,1.0,1.0,0,2,3,0,0,1,0,2,1,0,2.0,0.0,0,0
107,107,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,5.0,4.0,1.0,2,2,3,1,1,0,0,0,1,2,1.0,2.0,1,1
108,108,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,2.0,2.0,1.0,1,2,2,0,1,0,0,0,2,0,1.0,2.0,0,0
109,109,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,4.0,1.0,1.0,4,0,1,0,2,0,0,1,2,1,3.0,3.0,0,0
110,110,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,4.0,4.0,5.0,4.0,4.0,3,2,3,0,0,0,0,1,1,2,1.0,0.0,1,1
111,111,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,2.0,4.0,2,3,3,1,0,0,0,0,6,0,1.0,0.0,0,0
112,112,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,5.0,4.0,4.0,3,0,1,0,0,1,0,0,4,0,2.0,0.0,1,1
113,113,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,5.0,4.0,1.0,1,0,3,1,0,1,1,0,5,0,2.0,0.0,0,0
114,114,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,4.0,2.0,2.0,1,2,3,0,0,0,0,0,8,0,1.0,2.0,0,1
